stage,pnl,win_rate,signals,wins,losses,sideways,avg_pnl,pf,adx_threshold,ema_entry_len,ema_trend_len,hold_bars,rsi_len,stop_loss_pct,take_profit_pct,vol_mult
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,24.8,30.39,489,148,339,2,0.0507,1.09,,,,24,,0.008,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,60.4,24.33,489,118,367,4,0.1235,1.21,,,,24,,0.008,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,92.8,20.66,489,100,384,5,0.1898,1.3,,,,24,,0.008,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,8.0,40.66,489,198,289,2,0.0164,1.03,,,,24,,0.01,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-3.0,33.13,489,161,325,3,-0.0061,0.99,,,,24,,0.01,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,48.0,27.48,489,133,351,5,0.0982,1.14,,,,24,,0.01,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,63.0,22.61,489,109,373,7,0.1288,1.17,,,,24,,0.01,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-10.5,49.28,489,238,245,6,-0.0215,0.97,,,,24,,0.015,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-17.0,41.84,489,200,278,11,-0.0348,0.96,,,,24,,0.015,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,24.0,34.46,489,163,310,16,0.0491,1.05,,,,24,,0.015,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,58.5,29.55,489,138,329,22,0.1196,1.12,,,,24,,0.015,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-18.0,56.07,489,268,210,11,-0.0368,0.96,,,,24,,0.02,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-28.0,48.51,489,228,242,19,-0.0573,0.94,,,,24,,0.02,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,24.0,41.04,489,190,273,26,0.0491,1.04,,,,24,,0.02,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,44.0,34.95,489,159,296,34,0.09,1.07,,,,24,,0.02,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,32.0,37.63,489,184,305,0,0.0654,1.13,,,,48,,0.008,0.015,
